BAIRRO,REGIAO
Adhemar Garcia,Sudeste
América,Centro
Anita Garibaldi,Centro
Atiradores,Centro
Aventureiro,Nordeste
Boa Vista,Leste
Boehmerwald,Sul
Bom Retiro,Norte
Bucarein,Centro
Centro,Centro
Comasa,Leste
Costa e Silva,Norte
Dona Francisca,Norte
Espinheiros,Leste
Fátima,Sudeste
Floresta,Sul
Glória,Centro
Guanabara,Sudeste
Iririú,Leste
Itaum,Sul
Itinga,Sul
Jardim Iririú,Leste
Jardim Paraíso,Nordeste
Jardim Sofia,Norte
Jarivatuba,Sudeste
João Costa,Sudeste
Morro do Meio,Oeste
Nova Brasília,Oeste
Paranaguamirim,Sudeste
Parque Guarani,Sul
Petrópolis,Sul
Pirabeiraba,Norte
Profipo,Sul
Rio Bonito,Norte
Saguaçu,Centro
Santa Catarina,Sul
Santo Antônio,Norte
São Marcos,Oeste
Ulysses Guimarães,Sudeste
Vila Cubatão,Nordeste
Vila Nova,Oeste
Zona Industrial Norte,Norte
Zona Industrial Tupy,Leste
